aadiv,a0301,ˈɑːdɪv
aadiya,a030,ˈɑːdɪjə
aadrika,a036020,ˈɑːdɹɪkə
aadriti,a036030,ɑːdɹˈiːti
aadvay,a0310,ˈɑːdve͡ɪ
aadvik,a03102,ˈɑːdvɪk
aadvika,a031020,ˈɑːdvɪkə
aadya,a030,ˈɑːdɪə
aadyant,a03053,ˈɑːdɪənt
aadylen,a030405,ˈɑːda͡ɪlən
aadyot,a0303,ˈɑːdɪˌɒt
aafaque,a01020,ˈɑːfak
aafiya,a010,ˈɑːfɪjə
aafreen,a01605,ˈɑːfɹiːn
aaftab,a01301,ˈɑːftab
aaftabhusen,a013010205,ˈɑːftɐbhjˌuːsən
aagalliya,a02040,ˈɑːɡɐlˌɪjə
aagalya,a02040,ˈɑːɡɐlɪə
aagalyadevi,a020403010,ˈɑːɡɐlɪˌe͡ɪdvi
aagam,a0205,ˈɑːɡam
aagarsh,a020620,ˈɑːɡɑːʃ
aagash,a02020,ˈɑːɡaʃ
aagasthiya,a020230,ˈɑːɡasθˌɪjə
aageethan,a020305,ˈɑːd͡ʒiːθən
aagesh,a02020,ˈɑːd͡ʒɛʃ
aaghana,a02050,ɑːɡˈɑːnə
aaghesha,a02020,ɑːɡhˈɛʃə
aaghnya,a02050,ˈɑːɡnjə
aaghosh,a02020,ˈɑːɡhɒʃ
aagilan,a020405,ˈɑːd͡ʒɪlˌan
aagithina,a0203050,ˈɑːd͡ʒɪθˌɪnə
aagmila,a025040,ɑːɡmˈɪlə
aagna,a0250,ˈɑːɡnə
aagnesh,a025020,ˈɑːɡnɛʃ
aagney,a0250,ˈɑːɡni
aagneya,a0250,ˈɑːɡna͡ɪə
aagni,a0250,ˈɑːɡni
aagya,a020,ˈɑːd͡ʒɪə
aagyeyi,a020,ˈɑːd͡ʒɪˌa͡ɪi
aahaan,a050,ˈɑːhɑːn
aahaash,a020,ˈɑːhɑːʃ
aahalya,a040,ˈɑːhɐlɪə
aahan,a050,ˈɑːhan
aahana,a050,ɑːhˈɑːnə
aahanya,a050,ɑːhˈanjə
aahanyan,a0505,ɑːhˈanjən
aaharan,a0605,ˈɑːhaɹən
aaharen,a0605,ˈɑːhaɹən
aaharshi,a0620,ˈɑːhɑːʃi
aaharshya,a0620,ˈɑːhɑːʃɪə
aaharya,a060,ˈɑːhɑːɹɪə
aahash,a020,ˈɑːhaʃ
aaheerthan,a06305,ɑːhˈi͡əθən
aaheerthana,a063050,ɑːhˈi͡əθˈɑːnə
aaheli,a040,ˈɑːhɛli
aaher,a060,ˈɑːhə
aahesh,a020,ˈɑːhɛʃ
aahesha,a020,ɑːhˈɛʃə
aahil,a040,ˈɑːhɪl
aahila,a040,ɑːhˈɪlə
aahiliyan,a0405,ˈɑːhɪlˌɪjən
aahilyan,a0405,ˈɑːhɪlɪən
aahini,a050,ɑːhˈiːnɪ
aahisan,a0205,ˈɑːhɪsən
aahithya,a030,ˈɑːhɪθɪə
aahithyan,a0305,ˈɑːhɪθɪən
aahitya,a030,ˈɑːhɪtɪə
aahlaad,a0403,ˈɑːhlɑːd
aahlaadita,a0403030,ˌɑːhlɑːdˈiːtə
aahlaadith,a0403030,ˈɑːhlɑːdˌɪθ
aahlad,a0403,ˈɑːhlad
aahlada,a04030,ɑːhlˈɑːdə
aahladita,a0403030,ˌɑːhlɐdˈiːtə
aahna,a050,ˈɑːhnə
aahnik,a0502,ˈɑːhnɪk
aahrushie,a06020,ˈɑːhɹʌʃi
aahva,a010,ˈɑːhvə
aahvan,a0105,ˈɑːhvan
aahwaanith,a05030,ˈɑːhwɑːnˌɪθ
aailayh,a040,ˈɑːɹɪlˌe͡ɪ
aaingana,a052050,ˌɑːɹɪŋɡˈɑːnə
aaingini,a052050,ˌɑːɹɪŋɡˈiːnɪ
aairatha,a06030,ˌɑːɹəɹˈaθə
aairathan,a060305,ˈɑːɹəɹəθən
aaish,a020,ˈɑːɹɪʃ
aaisha,a020,ɑːɹˈiːʃə
aaiyooran,a0605,ˈɑːɹɪjˌɔːɹən
aajayan,a0205,ˈɑːd͡ʒe͡ɪən
aajeesh,a02020,ˈɑːd͡ʒiːʃ
aajeevan,a020105,ˈɑːd͡ʒiːvˌan
aajesh,a02020,ˈɑːd͡ʒɛʃ
aajish,a02020,ˈɑːd͡ʒɪʃ
aajith,a02030,ˈɑːd͡ʒɪθ
aakaanksha,a020520,ˈɑːkɑːŋkʃə
aakaansha,a020520,ˈɑːkɑːnʃə
aakaar,a0206,ɑːkˈɑː
aakaash,a02020,ˈɑːkɑːʃ
aakaksha,a02020,ˈɑːkakʃə
aakampan,a0205105,ˈɑːkɐmpˌan
aakanksh,a020520,ˈɑːkaŋkʃ
aakanksha,a020520,ˈɑːkaŋkʃə
aakansha,a020520,ˈɑːkanʃə
aakar,a0206,ˈɑːkɑː
aakarashan,a02060205,ˈɑːkɐɹˌaʃən
aakarsan,a0206205,ˈɑːkɑːsən
aakarsh,a020620,ˈɑːkɑːʃ
aakarsha,a020620,ˈɑːkɑːʃə
aakarshak,a0206202,ˈɑːkɑːʃˌak
aakarshan,a0206205,ˈɑːkɑːʃən
aakarshana,a02062050,ˌɑːkɑːʃˈɑːnə
aakarshika,a02062020,ˈɑːkɑːʃˌɪkə
aakas,a0202,ˈɑːkəz
aakash,a02020,ˈɑːkaʃ
aakashana,a0202050,ˌɑːkɐʃˈɑːnə
aakashi,a02020,ɑːkˈaʃi
aakashrajan,a0202060205,ˈɑːkɐʃɹˌad͡ʒən
aakathika,a0203020,ˈɑːkɐθˌɪkə
aakavi,a02010,ˈɑːkavi
aakavy,a02010,ˈɑːkavi
aakesh,a02020,ˈɑːkɛʃ
aakeshan,a020205,ˈɑːkɛʃən
aakhya,a020,ˈɑːkhɪə
aakhyaan,a0205,ˈɑːkhɪˌɑːn
aakil,a0204,ˈɑːkɪl
aakilan,a020405,ˈɑːkɪlˌan
aakiliyan,a020405,ˈɑːkɪlˌɪjən
aakrati,a026030,ɑːkɹˈɑːti
aakrithi,a026030,ɑːkɹˈɪθɪ
aakriti,a026030,ɑːkɹˈiːti
aakruthi,a026030,ɑːkɹˈuːθɪ
aakruti,a026030,ˈɑːkɹuːti
aakshara,a02060,ɑːkʃˈɑːɹə
aakshat,a0203,ˈɑːkʃat
aakshata,a02030,ɑːkʃˈɑːtə
aakshaya,a020,ˈɑːkʃe͡ɪə
aakshayan,a0205,ˈɑːkʃe͡ɪən
aakshayasree,a020260,ˈɑːkʃe͡ɪˌasɹiː
aakshiga,a02020,ˈɑːkʃɪɡə
aakshiya,a020,ˈɑːkʃɪjə
aakshya,a020,ˈɑːkʃɪə
aakshyasree,a020260,ˈɑːkʃɪˌasɹiː
aakula,a02040,ˈɑːkjʊlə
aakulan,a020405,ˈɑːkjʊlˌan
aalaabana,a0401050,ˌɑːlɑːbˈɑːnə
aalakanya,a0402050,ˌɑːlɐkˈanjə
aalakshya,a04020,ˈɑːlɐkʃɪə
aalam,a0405,ˈɑːlam
aalamarchelvan,a040506204105,ˈɑːlɐmˌɑːt͡ʃɛlvən
aalamb,a04051,ˈɑːlam
aalamundan,a040505305,ˈɑːlɐmˌʌndən
aalan,a0405,ˈɑːlan
aalap,a0401,ˈɑːlap
aalay,a040,ˈɑːle͡ɪ
aalaya,a040,ˈɑːle͡ɪə
aaleahya,a040,ˈɑːliːhɪə
aalee,a040,ˈɑːliː
aalekh,a04020,ˈɑːlɛk
aalhad,a0403,ˈɑːlhad
aalia,a040,ˈɑːliə
aalim,a0405,ˈɑːlɪm
aalisha,a04020,ɑːlˈiːʃə
aaliya,a040,ˈɑːlɪjə
aaliyan,a0405,ˈɑːlɪjən
aallivallal,a04010404,ˈɑːlɪvˌalə͡l
aalliyan,a0405,ˈɑːlɪjən
aalliyen,a0405,ˈɑːlɪjən
aaloecana,a0402050,ˌɑːlə͡ʊkˈɑːnə
aaloeka,a04020,ˈɑːlə͡ʊkə
aalok,a0402,ˈɑːlɒk
aaloka,a04020,ɑːlˈə͡ʊkə
aalop,a0401,ˈɑːləp
aamaal,a0504,ˈɑːmɑːl
aamani,a05050,ɑːmˈɑːni
aamaya,a050,ˈɑːme͡ɪə
aambal,a05104,ˈɑːmbə͡l
aamdaal,a05304,ˈɑːmdɑːl
aameeka,a05020,ˈɑːmiːkə
aamer,a0506,ˈɑːmə
aamil,a0504,ˈɑːmɪl
aamir,a0506,ˈɑːmi͡ə
aamirah,a05060,ˈɑːmɜːɹə
aamish,a05020,ˈɑːmɪʃ
aamisha,a05020,ɑːmˈiːʃə
aamithyan,a050305,ˈɑːmɪθɪən
aamod,a0503,ˈɑːmɒd
aamodh,a05030,ˈɑːmɒd
aamodin,a050305,ˈɑːmədˌɪn
aamodini,a0503050,ˌɑːmədˈiːnɪ
aamogh,a05020,ˈɑːmɒɡ
aampal,a05104,ˈɑːmpə͡l
aamrapaali,a05601040,ˈɑːmɹɐpˌɑːli
aamrapali,a05601040,ˌɑːmɹɐpˈɑːli
aamrutha,a056030,ɑːmɹˈuːθə
aamukta,a050230,ˈɑːmʌktə
aamuktha,a050230,ɑːmˈʌkθə
aan,a050,ˈɑːn
aanad,a0503,ˈɑːnad
aanadhitha,a0503030,ˌɑːnɐdhˈɪθə
aanaimugan,a05050205,ˈɑːne͡ɪmjˌuːɡən
aanal,a0504,ˈɑːnə͡l
aanamra,a050560,ˈɑːnamɹə
aanand,a05053,ˈɑːnand
aanandaadaevi,a0505303010,ˈɑːnɐndˌɑːdiːvi
aanandacamdrika,a05053020536020,ˈɑːnɐndˌakamdɹˌɪkə
aanandamayee,a05053050,ˈɑːnɐndˌame͡ɪˌiː
aanandamayi,a05053050,ˈɑːnɐndˌame͡ɪi
aanandana,a05053050,ˌɑːnɐndˈɑːnə
aanandaswarup,a05053020601,ˈɑːnɐndˌaswɔːɹˌʌp
aanandatha,a05053030,ˌɑːnɐndˈaθə
aanandhi,a050530,ɑːnˈandhɪ
aanandhitha,a05053030,ˌɑːnɐndhˈɪθə
aanandi,a050530,ɑːnˈandi
aanandini,a05053050,ˌɑːnɐndˈiːnɪ
aanandinii,a05053050,ˈɑːnɐndˌɪnɪˌa͡ɪ
aanandit,a0505303,ˈɑːnɐndˌɪt
aanandita,a05053030,ˌɑːnɐndˈiːtə
aananditha,a05053030,ˌɑːnɐndˈɪθə
aanandswarup,a0505320601,ˈɑːnɐndswˌɔːɹʌp
aananth,a050530,ˈɑːnanθ
aanantha,a050530,ɑːnˈanθə
aananthakumar,a05053020506,ˈɑːnanθˌakjuːmə
aananthamaya,a05053050,ˈɑːnanθˌame͡ɪə
aananthan,a0505305,ˈɑːnanθən
aananthapratha,a05053016030,ˌɑːnanθɐpɹˈaθə
aananthapriya,a050530160,ˈɑːnanθˌapɹɪjə
aanantharaj,a050530602,ˈɑːnanθˌaɹad͡ʒ
aanantharuba,a0505306010,ˌɑːnanθɑːɹˈuːbə
aanantharuban,a05053060105,ˈɑːnanθˌɑːɹuːbən
aananthavathana,a050530103050,ˌɑːnanθˌavɐθˈɑːnə
aananthi,a050530,ɑːnˈanθɪ
aananthiga,a05053020,ˈɑːnanθˌɪɡə
aananthika,a05053020,ˈɑːnanθˌɪkə
aananthy,a050530,ˈɑːnanθi
aanantya,a050530,ˈɑːnantɪə
aananya,a05050,ɑːnˈanjə
aanasri,a050260,ˈɑːnasɹi
aanathan,a050305,ˈɑːnəθən
aanathi,a05030,ɑːnˈaθɪ
aanav,a0501,ˈɑːnav
aanavi,a05010,ˈɑːnavi
aanay,a050,ˈɑːne͡ɪ
aanaya,a050,ˈɑːne͡ɪə
aanbu,a0510,ˈɑːnbuː
aanchal,a05204,ˈɑːnt͡ʃə͡l
aandaal,a05304,ˈɑːndɑːl
aandal,a05304,ˈɑːndə͡l
aandaleeb,a0530401,ˈɑːndɐlˌiːb
aandavan,a0530105,ˈɑːndɐvˌan
aandhal,a05304,ˈɑːndhə͡l
aandi,a0530,ˈɑːndi
aanditha,a053030,ɑːndˈɪθə
aangat,a05203,ˈɑːŋɡat
aangekan,a0520205,ˈɑːnd͡ʒɛkən
aangeyan,a05205,ˈɑːnd͡ʒa͡ɪən
aangi,a0520,ˈɑːŋɡi
aangiha,a0520,ˈɑːŋɡɪhə
aangihan,a05205,ˈɑːŋɡɪhˌan
aangika,a052020,ˈɑːŋɡɪkə
aanick,a0502,ˈɑːnɪk
aanika,a05020,ˈɑːnɪkə
aanish,a05020,ˈɑːnɪʃ
aaniya,a050,ˈɑːnɪjə
aanjaneya,a052050,ˈɑːnd͡ʒe͡ɪnjə
aanjaneyan,a0520505,ˈɑːnd͡ʒe͡ɪnjən
aanjay,a0520,ˈɑːnd͡ʒe͡ɪ
aanjeneyan,a0520505,ˈɑːnd͡ʒənˌa͡ɪən
aanmeeka,a05020,ˈɑːnmiːkə
aanoj,a0502,ˈɑːnɒd͡ʒ
aanojan,a050205,ˈɑːnɒd͡ʒən
aanosh,a05020,ˈɑːnɒʃ
aansh,a0520,ˈɑːnʃ
aanshal,a05204,ˈɑːnʃə͡l
aanshi,a0520,ˈɑːnʃi
aanshika,a052020,ˈɑːnʃɪkə
aanthira,a053060,ɑːnθˈi͡əɹə
aanthiya,a0530,ˈɑːnθɪjə
aantika,a053020,ˈɑːntɪkə
aantya,a0530,ˈɑːntɪə
aanush,a05020,ˈɑːnʌʃ
aanvi,a0510,ˈɑːnvi
aanya,a050,ˈɑːnjə
aaoka,a020,ɑːɹˈə͡ʊkə
aapal,a0104,ˈɑːpə͡l
aaparna,a010650,ˈɑːpɑːnə
aapeksha,a01020,ˈɑːpɛkʃə
aapt,a013,ˈɑːpt
aapti,a0130,ˈɑːpti
aapu,a010,ˈɑːpuː
aaqib,a0201,ˈɑːkɪb
aaqil,a0204,ˈɑːkɪl
aaquib,a0201,ˈɑːkwɪb
aar,a060,ˈɑː
aara,a060,ˈɑːɹə
aaraadhak,a060302,ˈɑːɹɑːdhˌak
aaraadhana,a0603050,ˈɑːɹɑːdhˈɑːnə
aaraalan,a060405,ˈɑːɹɑːlˌan
aaraathana,a0603050,ˈɑːɹɑːθˈɑːnə
aaraavamuthan,a0601050305,ˈɑːɹɑːvˌamʌθən
aarabe,a06010,ˈɑːɹəb
aarabhan,a060105,ˈɑːɹabhən
aarabhi,a06010,ˌɑːɹˈabhɪ
aarabi,a06010,ˈɑːɹˈɑːbi
aaraby,a06010,ˈɑːɹəbi
aaradana,a0603050,ˈɑːɹɐdˈɑːnə
aaradhak,a060302,ˈɑːɹɐdhˌak
aaradhana,a0603050,ˈɑːɹɐdhˈɑːnə
aaradhaya,a06030,ˈɑːɹɐdhˌe͡ɪə
aaradhi,a06030,ˌɑːɹˈadhɪ
aaradhita,a0603030,ˈɑːɹɐdhˈiːtə
aaradhy,a06030,ˈɑːɹadi
aaradhya,a06030,ˈɑːɹɐdɪə
aaradhyay,a06030,ˈɑːɹɐdɪˌe͡ɪ
aaradya,a06030,ˈɑːɹɐdɪə
aaraezhil,a060204,ˈɑːɹiːʒˌɪl
aarahi,a060,ˈɑːɹˈɑːhɪ
aarajan,a060205,ˈɑːɹad͡ʒən
aaral,a0604,ˈɑːɹə͡l
aaralan,a060405,ˈɑːɹɐlˌan
aaramuthan,a06050305,ˈɑːɹɐmˌʌθən
aaran,a0605,ˈɑːɹən
aarana,a06050,ˈɑːɹˈɑːnə
aaranan,a060505,ˈɑːɹˈɑːnən
aaranay,a06050,ˈɑːɹɐnˌe͡ɪ
aaranee,a06050,ˈɑːɹənˌiː
aaranen,a060505,ˈɑːɹənən
aaranga,a060520,ˈɑːɹˈaŋɡə
aarangan,a0605205,ˈɑːɹaŋɡən
aaranghan,a0605205,ˈɑːɹaŋhən
aarangi,a060520,ˈɑːɹaŋɡi
aarani,a06050,ˈɑːɹˈɑːni
aaranie,a06050,ˈɑːɹəni
aaranika,a0605020,ˈɑːɹɐnˌɪkə
aaranivon,a06050105,ˈɑːɹɐnˌɪvən
aaraniya,a06050,ˈɑːɹɐnˌɪjə
aaranjah,a060520,ˈɑːɹand͡ʒə
aaranthi,a060530,ˌɑːɹˈanθɪ
aaranya,a06050,ˌɑːɹˈanjə
aaranyan,a060505,ˌɑːɹˈanjən
aararavan,a06060105,ˈɑːɹɐɹˌavan
aarashi,a06020,ˌɑːɹˈaʃi
aaratha,a06030,ˌɑːɹˈaθə
aarathan,a060305,ˈɑːɹəθən
aarathana,a0603050,ˈɑːɹɐθˈɑːnə
aarathanaa,a0603050,ˈɑːɹɐθˌanɑː
aarathara,a0603060,ˈɑːɹɐθˈɑːɹə
aarathi,a06030,ˌɑːɹˈaθɪ
aarathika,a0603020,ˈɑːɹɐθˌɪkə
aarathy,a06030,ˈɑːɹəθi
aarathya,a06030,ˈɑːɹɐθɪə
aarati,a06030,ˈɑːɹˈɑːti
aaratrika,a06036020,ˈɑːɹɐtɹˌɪkə
aarav,a0601,ˈɑːɹav
aaravamudhan,a0601050305,ˈɑːɹɐvˌamʌdhən
aaravamuthan,a0601050305,ˈɑːɹɐvˌamʌθən
aaravanan,a06010505,ˈɑːɹɐvˈɑːnən
aaravi,a06010,ˈɑːɹavi
aaravya,a06010,ˈɑːɹɐvɪə
aarayini,a06050,ˈɑːɹe͡ɪˈiːnɪ
aarayna,a06050,ˈɑːɹe͡ɪnə
aarazagan,a06020205,ˈɑːɹɐzˌaɡən
aarchadaiyan,a0620305,ˈɑːt͡ʃɐdˌe͡ɪjən
aarchi,a0620,ˈɑːt͡ʃa͡ɪ
aardra,a06360,ˈɑːdɹə
aaresh,a06020,ˈɑːɹɛʃ
aareshkumar,a0602020506,ˈɑːɹɪʃkjˌuːmə
aareti,a06030,ˈɑːɹˈɛti
aaria,a060,ˈɑːɹiə
aaricca,a06020,ˈɑːɹɪkə
aaridhya,a06030,ˈɑːɹɪdɪə
aarif,a0601,ˈɑːɹɪf
aariish,a06020,ˈɑːɹɪɪʃ
aarik,a0602,ˈɑːɹɪk
aarika,a06020,ˈɑːɹɪkə
aarikaran,a06020605,ˈɑːɹɪkˌaɹən
aariket,a060203,ˈɑːɹɪkɪt
aariketh,a0602030,ˈɑːɹa͡ɪkəθ
aarin,a0605,ˈɑːɹɪn
aarini,a06050,ˈɑːɹˈiːnɪ
aarirai,a06060,ˈɑːɹəɹˌa͡ɪ
aarish,a06020,ˈɑːɹɪʃ
aarisha,a06020,ˈɑːɹˈiːʃə
aarishka,a0602020,ˈɑːɹˈiːʃkə
aarit,a0603,ˈɑːɹɪt
aarith,a06030,ˈɑːɹɪθ
aarithra,a0603060,ˈɑːɹɪθɹə
aaritra,a060360,ˈɑːɹɪtɹə
aariv,a0601,ˈɑːɹɪv
aariya,a060,ˈɑːɹɪjə
aariyan,a0605,ˈɑːɹɪjən
aariyas,a0602,ˈɑːɹɪjəz
aariyashree,a0602060,ˈɑːɹɪjˌaʃɹiː
aariyen,a0605,ˈɑːɹɪjən
aariz,a0602,ˈɑːɹɪz
aarjav,a06201,ˈɑːd͡ʒav
aarjith,a062030,ˈɑːd͡ʒɪθ
aarju,a0620,ˈɑːd͡ʒuː
aarkash,a062020,ˈɑːkaʃ
aarke,a0620,ˈɑːk
aarksh,a0620,ˈɑːkʃ
aarmaya,a0650,ˈɑːme͡ɪə
aarmeeka,a065020,ˈɑːmiːkə
aarmeka,a065020,ˈɑːmɛkə
aarmika,a065020,ˈɑːmɪkə
aarmiya,a0650,ˈɑːmɪjə
aarna,a0650,ˈɑːnə
aarnab,a06501,ˈɑːnab
aarnav,a06501,ˈɑːnav
aarnavi,a065010,ˈɑːnavi
aarni,a0650,ˈɑːni
aarnika,a065020,ˈɑːnɪkə
aarnish,a065020,ˈɑːnɪʃ
aarnya,a0650,ˈɑːnjə
aarochan,a060205,ˈɑːɹɒt͡ʃən
aarogana,a0602050,ˈɑːɹəɡˈɑːnə
aarohan,a0605,ˈɑːɹə͡ʊhˌan
aarohi,a060,ˈɑːɹˈə͡ʊhɪ
aarokiyan,a060205,ˈɑːɹəkˌɪjən
aaron,a0605,ˈe͡əɹən
aaronraj,a0605602,ˈɑːɹənɹˌad͡ʒ
aaroojan,a060205,ˈɑːɹuːd͡ʒən
aarookiyan,a060205,ˈɑːɹʊkˌɪjən
aarookiyen,a060205,ˈɑːɹʊkˌɪjən
aarooran,a060605,ˈɑːɹɔːɹən
aaroosh,a06020,ˈɑːɹuːʃ
aaroosha,a06020,ˌɑːɹˈuːʃə
aarooshan,a060205,ˈɑːɹuːʃən
aarooshen,a060205,ˈɑːɹuːʃən
aaroush,a06020,ˈɑːɹa͡ʊʃ
aarovana,a0601050,ˈɑːɹəvˈɑːnə
aarpit,a06103,ˈɑːpɪt
aarsh,a0620,ˈɑːʃ
aarsha,a0620,ˈɑːʃə
aarshabh,a062010,ˈɑːʃab
aarshati,a062030,ˈɑːʃˈɑːti
aarshin,a06205,ˈɑːʃɪn
aarshini,a062050,ˈɑːʃa͡ɪni
aarshvi,a062010,ˈɑːʃvi
aarth,a0630,ˈɑːθ
aarthana,a063050,ˈɑːθˈɑːnə
